Year,Region,Bedrooms,Price,,,,,,,,,,,,,,
2017,College Park,5,2441,,,,,,,,,,,,,,
2016,United States,0,765,,,,,,,,,,,,,,
2016,United States,1,801,,,,,,,,,,,,,,
2016,United States,2,932,,,,,,,,,,,,,,
2016,United States,3,1105,,,,,,,,,,,,,,
2016,United States,4,1375,,,,,,,,,,,,,,
2016,United States,5,1462,,,,,,,,,,,,,,
2016,Maryland,0,897,,,,,,,,,,,,,,
2016,Maryland,1,1040,,,,,,,,,,,,,,
2016,Maryland,2,1280,,,,,,,,,,,,,,
2016,Maryland,3,1510,,,,,,,,,,,,,,
2016,Maryland,4,1842,,,,,,,,,,,,,,
2016,Maryland,5,2005,,,,,,,,,,,,,,
2016,Prince George's County,0,1011,,,,,,,,,,,,,,
2016,Prince George's County,1,1120,,,,,,,,,,,,,,
2016,Prince George's County,2,1356,,,,,,,,,,,,,,
2016,Prince George's County,3,1727,,,,,,,,,,,,,,
2016,Prince George's County,4,2029,,,,,,,,,,,,,,
2016,Prince George's County,5,2154,,,,,,,,,,,,,,
2016,College Park,0,1511,,,,,,,,,,,,,,
2016,College Park,1,932,,,,,,,,,,,,,,
2016,College Park,2,1341,,,,,,,,,,,,,,
2016,College Park,3,1542,,,,,,,,,,,,,,
2016,College Park,4,1641,,,,,,,,,,,,,,
2016,College Park,5,996,,,,,,,,,,,,,,
2015,United States,0,2250,,,,,,,,,,,,,,
2015,United States,1,779,,,,,,,,,,,,,,
2015,United States,2,912,,,,,,,,,,,,,,
2015,United States,3,1089,,,,,,,,,,,,,,
2015,United States,4,1355,,,,,,,,,,,,,,
2015,United States,5,1433,,,,,,,,,,,,,,
2015,Maryland,0,861,,,,,,,,,,,,,,
2015,Maryland,1,1009,,,,,,,,,,,,,,
2015,Maryland,2,1250,,,,,,,,,,,,,,
2015,Maryland,3,1479,,,,,,,,,,,,,,
2015,Maryland,4,1832,,,,,,,,,,,,,,
2015,Maryland,5,1982,,,,,,,,,,,,,,
2015,Prince George's County,0,984,,,,,,,,,,,,,,
2015,Prince George's County,1,1090,,,,,,,,,,,,,,
2015,Prince George's County,2,1319,,,,,,,,,,,,,,
2015,Prince George's County,3,1710,,,,,,,,,,,,,,
2015,Prince George's County,4,2014,,,,,,,,,,,,,,
2015,Prince George's County,5,2109,,,,,,,,,,,,,,
2015,College Park,0,937,,,,,,,,,,,,,,
2015,College Park,1,1223,,,,,,,,,,,,,,
2015,College Park,2,1511,,,,,,,,,,,,,,
2015,College Park,3,1671,,,,,,,,,,,,,,
2015,College Park,4,1158,,,,,,,,,,,,,,
2015,College Park,5,2176,,,,,,,,,,,,,,
